"","start_date","first_ccy_pair","d_xrate","d_new_users","fitted","new_users_1","new_users","Expected new users","Over/under"
"1027",2015-01-05,"EUR > GBP",0.00203047542393042,0.336666666666667,0.1891241768081,900,1203,1070,0.124299065420561
"1028",2015-01-05,"EUR > INR",-0.0267294646201036,0.00369003690036895,0.00877204222822515,271,272,273,-0.00366300366300365
"1029",2015-01-05,"GBP > HUF",0.00314014699978427,0.234972677595628,0.0198876435636766,183,226,187,0.20855614973262
"1030",2015-01-05,"EUR > USD",-0.0191715892610802,0.272251308900524,0.0339557241546998,191,243,197,0.233502538071066
"1031",2015-01-05,"GBP > EUR",-0.00203041154880235,0.311444652908067,0.184165990020377,1599,2097,1893,0.107765451664025
"1032",2015-01-05,"GBP > INR",-0.0286664302219791,-0.3046875,-0.185730909261488,512,356,417,-0.146282973621103
"1033",2015-01-05,"USD > INR",-0.00768844516032263,0.323214285714286,-0.170736135953512,28,37.05,23,0.610869565217391
"1034",2015-01-05,"GBP > USD",-0.0211508181324297,0.0787671232876712,-0.0721735637630119,292,315,271,0.162361623616236
"1035",2015-01-05,"other",NA,0.32691149909693,NA,NA,2204,2204,0
"1036",2015-01-12,"EUR > GBP",-0.0115739895578517,-0.0556940980881131,-0.000470669790672576,1203,1136,1202,-0.0549084858569051
"1037",2015-01-12,"EUR > INR",-0.0285994592182691,-0.113970588235294,0.198498790179091,272,241,326,-0.260736196319018
"1038",2015-01-12,"EUR > USD",-0.0124298267758184,0.0246913580246915,0.0644414551426836,243,249,259,-0.0386100386100386
"1039",2015-01-12,"GBP > HUF",0.0155614209215225,0.495575221238938,0.464608537466227,226,338,331,0.0211480362537764
"1040",2015-01-12,"GBP > EUR",0.0117601028450058,0.0515021459227467,0.0414046513201407,2097,2205,2184,0.00961538461538458
"1041",2015-01-12,"GBP > INR",-0.0173955745505546,-0.134831460674157,-0.0926741702772789,356,308,323,-0.0464396284829721
"1042",2015-01-12,"USD > INR",-0.0163881934486203,-0.433198380566802,0.104046359501499,37.05,21,41,-0.48780487804878
"1043",2015-01-12,"GBP > USD",-0.000997140276941644,0.00634920634920633,0.13843111999135,315,317,359,-0.116991643454039
"1044",2015-01-12,"other",NA,0.179219600725953,NA,NA,2599,2599,0
"1045",2015-01-19,"EUR > GBP",-0.0169178486997635,0.152288732394366,0.163873642281235,1136,1309,1322,-0.00983358547655067
"1046",2015-01-19,"EUR > INR",-0.028468416617314,0.0705394190871369,0.289275561873326,241,258,311,-0.170418006430868
"1047",2015-01-19,"EUR > USD",-0.021776441517656,-0.0200803212851406,0.0568914258879516,249,244,263,-0.0722433460076045
"1048",2015-01-19,"GBP > HUF",0.00501552771381952,-0.0650887573964497,-0.0325409638905968,338,316,327,-0.0336391437308868
"1049",2015-01-19,"GBP > EUR",0.017214138132962,0.190022675736961,0.106716342184214,2205,2624,2440,0.0754098360655737
"1050",2015-01-19,"GBP > INR",-0.01180701550842,0.392857142857143,0.338321597330225,308,429,412,0.0412621359223302
"1051",2015-01-19,"USD > INR",-0.00681802526083664,0.238095238095238,-0.0298335804211919,21,26,20,0.3
"1052",2015-01-19,"GBP > USD",-0.00501892691011119,0.100946372239748,0.0632868372547254,317,349,337,0.0356083086053411
"1053",2015-01-19,"other",NA,0.0265486725663717,NA,NA,2668,2668,0
"1054",2015-01-26,"EUR > GBP",-0.0161944841061096,0.148204736440031,-0.00826814759813385,1309,1503,1298,0.157935285053929
"1055",2015-01-26,"EUR > INR",-0.017259581298261,0.224806201550388,0.113428291657643,258,316,287,0.101045296167247
"1056",2015-01-26,"EUR > USD",-0.0173087452092977,-0.0204918032786885,-0.206105935083333,244,239,194,0.231958762886598
"1057",2015-01-26,"GBP > INR",-0.000844433912711717,1.13053613053613,0.92110413659473,429,914,824,0.109223300970874
"1058",2015-01-26,"GBP > HUF",0.00311363662977127,0.0443037974683544,-0.0863549151546663,316,330,289,0.141868512110727
"1059",2015-01-26,"GBP > EUR",0.0164123173844566,0.266006097560976,0.0539075318561118,2624,3322,2765,0.201446654611211
"1060",2015-01-26,"USD > INR",7.49253240404091e-05,1.39038461538462,0.53533205547582,26,62.15,40,0.55375
"1061",2015-01-26,"GBP > USD",-0.000917995551980355,0.186246418338109,0.0256407005760529,349,414,358,0.156424581005587
"1062",2015-01-26,"other",NA,0.219302848575712,NA,NA,3253.1,3253.1,0
"1063",2015-02-02,"EUR > GBP",0.00190963602337391,-0.328010645375915,-0.0977319403540818,1503,1010,1356,-0.255162241887906
"1064",2015-02-02,"EUR > INR",0.0120723816565098,-0.202373417721519,-0.217220476213922,316,252.05,247,0.0204453441295547
"1065",2015-02-02,"EUR > USD",0.00752155800083565,0.112970711297071,0.245914623542503,239,266,298,-0.10738255033557
"1066",2015-02-02,"GBP > INR",0.0100988599658896,-0.413566739606127,-0.0124587890989892,914,536,903,-0.406423034330011
"1067",2015-02-02,"GBP > HUF",-0.0104487171673977,-0.206060606060606,0.0390660657615291,330,262,343,-0.236151603498542
"1068",2015-02-02,"GBP > EUR",-0.00190219714456696,-0.246824202287778,0.0490587917765175,3322,2502.05,3485,-0.282051649928264
"1069",2015-02-02,"USD > INR",0.00451095521007439,-0.292035398230089,0.0844234156304953,62.15,44,67,-0.343283582089552
"1070",2015-02-02,"GBP > USD",0.00556039709002731,-0.210144927536232,0.0386634463737233,414,327,430,-0.23953488372093
"1071",2015-02-02,"other",NA,-0.280025206725892,NA,NA,2342.15,2342.15,0
"1072",2015-02-09,"EUR > GBP",-0.0103686196775054,-0.0316336633663367,0.0354424379330762,1010,978.05,1046,-0.064961759082218
"1073",2015-02-09,"EUR > INR",0.00327310231877931,-0.0755802420154732,-0.270061616795847,252.05,233,184,0.266304347826087
"1074",2015-02-09,"EUR > USD",-0.00187263564040374,-0.161654135338346,-0.131914431611904,266,223,231,-0.0346320346320347
"1075",2015-02-09,"GBP > INR",0.0136891083404238,-0.0594216417910448,-0.561921094888846,536,504.15,235,1.14531914893617
"1076",2015-02-09,"GBP > EUR",0.0104284888327373,-0.105133790291961,-0.131869532894877,2502.05,2239,2172,0.0308471454880295
"1077",2015-02-09,"GBP > HUF",0.00616610793560035,-0.129770992366412,-0.112074405413163,262,228,233,-0.0214592274678111
"1078",2015-02-09,"GBP > USD",0.00850642927794265,-0.116207951070336,-0.0774873990506713,327,289,302,-0.043046357615894
"1079",2015-02-09,"USD > INR",0.00514486010441662,0.207954545454546,-0.185735504772798,44,53.15,36,0.476388888888889
"1080",2015-02-09,"other",NA,-0.0236961765898853,NA,NA,2286.65,2286.65,0
"1081",2015-02-16,"EUR > GBP",-0.00331266129964169,0.035734369408517,-0.0357602324504498,978.05,1013,943,0.0742311770943795
"1082",2015-02-16,"EUR > INR",0.00338391454036402,0.0472103004291846,-0.293934619940441,233,244,165,0.478787878787879
"1083",2015-02-16,"EUR > USD",0.00337454985016006,-0.0266816143497758,-0.0764780604946675,223,217.05,206,0.0536407766990292
"1084",2015-02-16,"GBP > INR",0.00681994301968603,-0.140930278686899,-0.590941644821694,504.15,433.1,206,1.10242718446602
"1085",2015-02-16,"GBP > EUR",0.00334845081168145,0.0478115230013401,-0.0501065846640541,2239,2346.05,2127,0.102985425481899
"1086",2015-02-16,"GBP > HUF",-0.000127590716568426,-0.043640350877193,-0.104956331876719,228,218.05,204,0.0688725490196078
"1087",2015-02-16,"GBP > USD",0.00679071157690214,0.103806228373702,-0.0364475057734964,289,319,278,0.147482014388489
"1088",2015-02-16,"USD > INR",1.90672617184084e-05,0.645343367826905,0.180678090383994,53.15,87.45,63,0.388095238095238
"1089",2015-02-16,"other",NA,0.0710427918570835,NA,NA,2449.1,2449.1,0
"1090",2015-02-23,"EUR > GBP",-0.0097004830917875,0.076061204343534,-0.013548894873654,1013,1090.05,999,0.0911411411411411
"1091",2015-02-23,"EUR > INR",-0.0105743848442427,-0.0573770491803278,-0.183551244556883,244,230,199,0.155778894472362
"1092",2015-02-23,"EUR > USD",-0.00692718921767943,0.156876295784381,-0.0642298459162191,217.05,251.1,203,0.236945812807882
"1093",2015-02-23,"GBP > INR",-0.00083890439652734,0.295774647887324,-0.0562499463673061,433.1,561.2,409,0.372127139364303
"1094",2015-02-23,"GBP > EUR",0.00983229131463337,0.159864453016773,0.0102712983016227,2346.05,2721.1,2370,0.148143459915612
"1095",2015-02-23,"GBP > HUF",0.00385045494481417,0.14193992203623,0.0203557692064346,218.05,249,222,0.121621621621622
"1096",2015-02-23,"GBP > USD",0.00285754047409181,0.0721003134796239,-0.0584152903922197,319,342,300,0.14
"1097",2015-02-23,"USD > INR",-0.00367991134581525,0.19325328759291,0.0752066727697696,87.45,104.35,94,0.110106382978723
"1098",2015-02-23,"other",NA,0.161569556163489,NA,NA,2844.8,2844.8,0
"1099",2015-03-02,"EUR > GBP",-0.00977599125819539,0.0651804963075089,0.0877732143741383,1090.05,1161.1,1186,-0.0209949409780776
"1100",2015-03-02,"EUR > INR",-0.0174530911971537,0.11304347826087,0.238408159097555,230,256,285,-0.101754385964912
"1101",2015-03-02,"EUR > USD",-0.0198018550812545,0.123058542413381,0.127195473722548,251.1,282,283,-0.00353356890459366
"1102",2015-03-02,"GBP > INR",-0.00777448135905823,0.0567533856022806,0.180564356656449,561.2,593.05,663,-0.105505279034691
"1103",2015-03-02,"GBP > EUR",0.00987251487675045,-0.0338466061519238,-0.0824479933635789,2721.1,2629,2497,0.052863436123348
"1104",2015-03-02,"GBP > HUF",0.012069638422753,0.00803212851405632,-0.0120833491095968,249,251,246,0.0203252032520325
"1105",2015-03-02,"GBP > USD",-0.0101486682763916,-0.0497076023391813,0.00326923609039242,342,325,343,-0.0524781341107872
"1106",2015-03-02,"USD > INR",0.00244542692943983,1.50551030186871,1.15967327459221,104.35,261.45,225,0.162
"1107",2015-03-02,"other",NA,0.0102994938132732,NA,NA,2874.1,2874.1,0
"1108",2015-03-09,"EUR > GBP",-0.0155871283031509,-0.0982688829558177,-0.054984983043401,1161.1,1047,1097,-0.0455788514129444
"1109",2015-03-09,"EUR > INR",-0.026779388628594,-0.03515625,0.336172582690134,256,247,342,-0.277777777777778
"1110",2015-03-09,"EUR > USD",-0.0362525300707777,-0.0741134751773049,0.0634614758735644,282,261.1,300,-0.129666666666667
"1111",2015-03-09,"GBP > INR",-0.0114272170471476,-0.38622375853638,-0.242403140413895,593.05,364,449,-0.189309576837416
"1112",2015-03-09,"GBP > EUR",0.0158445781510517,0.145701787751997,0.113128572492235,2629,3012.05,2926,0.0294087491455912
"1113",2015-03-09,"GBP > HUF",0.0110449609497922,-0.0717131474103586,-0.070445525045196,251,233,233,0
"1114",2015-03-09,"GBP > USD",-0.0210568619387641,-0.138461538461538,-0.075102054344899,325,280,301,-0.0697674418604651
"1115",2015-03-09,"USD > INR",0.00979947700854789,0.667240390131956,0.328440514287198,261.45,435.9,347,0.256195965417867
"1116",2015-03-09,"other",NA,-0.0333495703002679,NA,NA,2778.25,2778.25,0
"1117",2015-03-16,"EUR > GBP",0.00724637681159401,-0.0437917860553964,0.0437385391088521,1047,1001.15,1093,-0.0840347666971638
"1118",2015-03-16,"EUR > INR",-0.00432813638450036,-0.222672064777328,-0.170696133298437,247,192,205,-0.0634146341463414
"1119",2015-03-16,"EUR > USD",-0.00296970102334271,-0.111451551129835,-0.00449872698640339,261.1,232,260,-0.107692307692308
"1120",2015-03-16,"GBP > INR",-0.0113906409718739,-0.109752747252747,-0.00640370220315886,364,324.05,362,-0.104834254143646
"1121",2015-03-16,"GBP > EUR",-0.00721764040247519,-0.143722713766372,0.0168494802942867,3012.05,2579.15,3063,-0.157966046359778
"1122",2015-03-16,"GBP > HUF",-0.00559620153309226,-0.201716738197425,-0.0892302735171201,233,186,212,-0.122641509433962
"1123",2015-03-16,"GBP > USD",-0.0100436306006129,0.0392857142857144,0.112569116693197,280,291,312,-0.0673076923076923
"1124",2015-03-16,"USD > INR",-0.00134729263651612,-0.461344345033264,0.0243067674880881,435.9,234.8,446,-0.473542600896861
"1125",2015-03-16,"other",NA,-0.0884549626563484,NA,NA,2532.5,2532.5,0
"1126",2015-03-23,"EUR > GBP",0.0177471282642394,0.130749637916396,-0.0939043441789192,1001.15,1132.05,907,0.248125689084895
"1127",2015-03-23,"EUR > INR",0.0216344979756218,0.432552083333333,-0.469448960291022,192,275.05,102,1.69656862745098
"1128",2015-03-23,"EUR > USD",0.023653951940751,0.185344827586207,-0.1124241926928,232,275,206,0.33495145631068
"1129",2015-03-23,"GBP > INR",0.00388492252790051,0.435272334516278,-0.131922882275856,324.05,465.1,281,0.655160142348755
"1130",2015-03-23,"GBP > EUR",-0.01744621861683,0.0770990442587673,0.0192645787338373,2579.15,2778,2629,0.0566755420311906
"1131",2015-03-23,"GBP > HUF",-0.0267755728819877,0.139784946236559,0.0350305542182721,186,212,193,0.0984455958549222
"1132",2015-03-23,"GBP > USD",0.00591179562353528,0.247422680412371,0.0381981680569355,291,363,302,0.201986754966887
"1133",2015-03-23,"USD > INR",-0.00202423563151932,2.93249574105622,2.39935711253833,234.8,923.35,798,0.157080200501253
"1134",2015-03-23,"other",NA,0.112951628825271,NA,NA,2818.55,2818.55,0
"1135",2015-03-30,"EUR > GBP",-0.000742028079904755,-0.0954463142087363,0.00260394566460898,1132.05,1024,1135,-0.0977973568281938
"1136",2015-03-30,"EUR > INR",-0.0068107304283499,-0.272859480094528,-0.0785543979566268,275.05,200,253,-0.209486166007905
"1137",2015-03-30,"EUR > USD",-0.00405001572821639,-0.0652727272727273,-0.0283256898737662,275,257.05,267,-0.0372659176029962
"1138",2015-03-30,"GBP > INR",-0.00613767660679365,-0.0561169640937433,0.24717143026514,465.1,439,580,-0.243103448275862
"1139",2015-03-30,"GBP > EUR",0.000731559475785293,-0.140370770338373,-0.0761671994927139,2778,2388.05,2566,-0.0693491816056118
"1140",2015-03-30,"GBP > HUF",-0.00458005176952048,0.00943396226415105,0.12241396277702,212,214,238,-0.100840336134454
"1141",2015-03-30,"GBP > USD",-0.00342268752876196,-0.231404958677686,-0.0826311784283619,363,279,333,-0.162162162162162
"1142",2015-03-30,"USD > INR",-0.00275077385512412,-0.089781772892186,0.923418928288274,923.35,840.45,1776,-0.526773648648649
"1143",2015-03-30,"other",NA,-0.0932394316226429,NA,NA,2555.75,2555.75,0
"1144",2015-04-06,"EUR > GBP",-0.00224727883844988,-0.0244140625,-0.0427907630396479,1024,999,980,0.0193877551020407
"1145",2015-04-06,"EUR > INR",-0.0064373029577478,0.21,0.101095891491608,200,242,220,0.1
"1146",2015-04-06,"EUR > USD",-0.0044086488478291,0.0816961680606885,0.111421384985866,257.05,278.05,286,-0.0277972027972028
"1147",2015-04-06,"GBP > INR",-0.00423578601795527,0.0751708428246014,-0.00518193982785334,439,472,437,0.0800915331807781
"1148",2015-04-06,"GBP > EUR",0.00231839258114386,-0.0448273696111892,-0.108973724631071,2388.05,2281,2128,0.0718984962406015
"1149",2015-04-06,"GBP > HUF",-0.00283947783860217,-0.154205607476635,-0.141292007428501,214,181,184,-0.0163043478260869
"1150",2015-04-06,"GBP > USD",-0.00221266607020887,0.103942652329749,0.114073746786509,279,308,311,-0.00964630225080387
"1151",2015-04-06,"other",NA,0.00356059865010261,NA,NA,2564.85,2564.85,0
"1152",2015-04-06,"USD > INR",-0.00201972746398504,0.438991016717235,0.839478920087589,840.45,1209.4,1546,-0.217723156532988
"1153",2015-04-13,"EUR > GBP",-0.0107133064358181,0.00900900900900892,0.0641143644695836,999,1008,1063,-0.0517403574788335
"1154",2015-04-13,"EUR > INR",-0.0103065795177343,-0.210743801652893,-0.102986129040841,242,191,217,-0.119815668202765
"1155",2015-04-13,"EUR > USD",-0.0123988790778831,-0.025355151951088,-0.0184330113426837,278.05,271,273,-0.0073260073260073
"1156",2015-04-13,"GBP > INR",0.00040575892495287,0.209851694915254,0.145107928369675,472,571.05,540,0.0574999999999999
"1157",2015-04-13,"GBP > EUR",0.0107524641063577,-0.0323980710214818,-0.0866863461568211,2281,2207.1,2083,0.0595775324051848
"1158",2015-04-13,"GBP > HUF",0.0131695002783077,0.0718232044198894,0.0656080460043353,181,194,193,0.00518134715025909
"1159",2015-04-13,"GBP > USD",-0.00167764204518062,0.0389610389610389,0.0272575867849211,308,320,316,0.0126582278481013
"1160",2015-04-13,"other",NA,-0.00508801684309013,NA,NA,2551.8,2551.8,0
"1161",2015-04-13,"USD > INR",0.00208421027008621,-0.357780717711262,-0.743470012594707,1209.4,776.7,310,1.50548387096774
"1162",2015-04-20,"EUR > GBP",-0.00461285660549193,-0.00491071428571432,-0.248019426941982,1008,1003.05,758,0.323284960422163
"1163",2015-04-20,"EUR > INR",0.0220634333100882,0.968586387434555,0.0254414580069558,191,376,196,0.918367346938775
"1164",2015-04-20,"EUR > USD",0.0104933479669138,-0.118081180811808,-0.355724733896989,271,239,175,0.365714285714286
"1165",2015-04-20,"GBP > INR",0.0268025361266357,0.796777865335785,-0.224426405627607,571.05,1026.05,443,1.31613995485327
"1166",2015-04-20,"GBP > EUR",0.00462838882589423,0.115060486611391,-0.156159417142191,2207.1,2461.05,1862,0.32172395273899
"1167",2015-04-20,"GBP > HUF",0.0108094225004751,-0.020618556701031,-0.266750951211187,194,190,142,0.338028169014085
"1168",2015-04-20,"GBP > USD",0.0151627826120548,0.01265625,-0.211342802349868,320,324.05,252,0.285912698412699
"1169",2015-04-20,"other",NA,0.0158123677404185,NA,NA,2592.15,2592.15,0
"1170",2015-04-20,"USD > INR",0.0114306063881691,2.02265997167504,0.661075527735302,776.7,2347.7,1290,0.819922480620155
"1171",2015-04-27,"EUR > GBP",0.0069811846135488,0.115597427845073,0.116965230061883,1003.05,1119,1120,-0.00089285714285714
"1172",2015-04-27,"EUR > INR",0.0315901317941283,0.5,0.0581711779760142,376,564,398,0.417085427135678
"1173",2015-04-27,"EUR > USD",0.0233913481151817,0.330543933054393,0.22107761738744,239,318,292,0.0890410958904109
"1174",2015-04-27,"GBP > INR",0.024462832512137,0.205886652697237,-0.167493725779919,1026.05,1237.3,854,0.448829039812646
"1175",2015-04-27,"GBP > EUR",-0.00675155706502228,-0.028869791349221,0.0458420360226054,2461.05,2390,2574,-0.0714840714840714
"1176",2015-04-27,"GBP > HUF",-0.000288902476046071,0.0789473684210527,0.107173146678605,190,205,210,-0.0238095238095238
"1177",2015-04-27,"other",NA,0.0860482610960014,NA,NA,2815.2,2815.2,0
"1178",2015-04-27,"GBP > USD",0.0163252880233655,0.120351797562105,0.0949761259832505,324.05,363.05,355,0.0226760563380282
"1179",2015-04-27,"USD > INR",0.00802881455355164,-0.354623674234357,-0.703566712150687,2347.7,1515.15,696,1.17693965517241
"1180",2015-05-04,"EUR > GBP",0.0171443243990599,-0.0357462019660411,-0.0122986039312261,1119,1079,1105,-0.0235294117647059
"1181",2015-05-04,"EUR > INR",0.0194269318801976,0.102836879432624,-0.020523830363047,564,622,552,0.126811594202898
"1182",2015-05-04,"EUR > USD",0.0162430109753571,-0.00628930817610063,-0.00780955144106942,318,316,316,0
"1183",2015-05-04,"GBP > INR",0.00232935549048796,-0.0274791885557262,-0.0134053755521844,1237.3,1203.3,1221,-0.0144963144963145
"1184",2015-05-04,"GBP > EUR",-0.0169523042117333,-0.106255230125523,0.0664835969743924,2390,2136.05,2549,-0.162004707728521
"1185",2015-05-04,"GBP > HUF",-0.013417620052929,0.0731707317073171,0.186046524265122,205,220,243,-0.0946502057613169
"1186",2015-05-04,"other",NA,-0.0119707303211138,NA,NA,2781.5,2781.5,0
"1187",2015-05-04,"GBP > USD",-0.000795664098699911,-0.0524721112794381,0.0191132832284331,363.05,344,370,-0.0702702702702702
